"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void q4rdna_kernel::gemv_split_k<false, false, 8>(unsigned char const*, unsigned char const*, float const*, float const*, float*, int)",1,27120,27120.000000,71.22,27120,27120,0.00000000e+00
"__amd_rocclr_copyBuffer",2,10960,5480.000000,28.78,3440,7520,2884.995667
