"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void q4rdna_kernel::gemv_old<false, false>(unsigned char const*, unsigned char const*, float const*, float const*, float*, int)",1,113921,113921.000000,92.32,113921,113921,0.00000000e+00
"__amd_rocclr_copyBuffer",1,9480,9480.000000,7.68,9480,9480,0.00000000e+00
