n,k,requested,mapping,resolved,timing,timing_boundary,execution_schedule,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old,latency_ratio_vs_auto
1024,4096,selected,small32x32,small32x32,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,31,69074944,69095424,30,6769,14.775340557098389,14.81612243967934,14.693509988197285,15.162065494428587,151.77412370578844,0.5661810662103,True,2.6795900529180403,1.003400878579038
3072,3072,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,1,,46.740999445319176,45.58410085737705,51.90910138189793,107.78716886218685,0.40380753993248536,True,1.0,1.6551052359386798
3072,3072,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,1,,28.240500018000603,27.291999384760857,35.88000014424325,178.39910755081206,0.668343973653774,True,1.6551052359386798,1.0
3072,3072,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,1,,28.3805001527071,27.48089972883463,34.022100642323494,177.51907023807112,0.6650470533797006,True,1.646940652695324,1.004957424075964
3072,3072,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,3009,33.24081897735596,30.14162443293492,29.673274183796266,30.18349609172158,167.1469303590363,0.626189475686536,True,1.0,2.0696961914859955
3072,3072,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,6873,14.550540447235107,14.563308642556812,14.476345311462767,14.683412607105021,345.9433651826724,1.296021972977036,True,2.0696961914859955,1.0
3072,3072,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,6857,14.585139751434326,14.597219751165266,14.421569993340519,14.702635463688452,345.1396968657556,1.293011157038538,True,2.0648880366775852,1.0023285305173961
3072,8192,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,122.0020018517971,119.3498969078064,138.49500566720963,109.95229419510058,0.41254772246393767,True,1.0,2.6270887726495986
3072,8192,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,46.43999971449375,45.59299908578396,57.90810100734234,288.8544376070144,1.0837994898671734,True,2.6270887726495986,1.0
3072,8192,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,46.73999920487404,45.72089836001396,68.74289885163307,287.0004327813756,1.0768431505397078,True,2.610226870501845,1.0064599373864047
3072,8192,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,882,113.38793754577637,82.91874667143875,82.30664692227803,83.09276520259797,161.77765027194474,0.6069996233714983,True,1.0,2.747291244838599
3072,8192,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,2399,41.697020530700684,30.182000844366307,30.11686699546442,30.93708287978878,444.4503222026745,1.667604750908844,True,2.747291244838599,1.0
3072,8192,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,2470,40.488810539245605,30.519323310388728,30.204698508567656,30.8966747083162,439.53792368108503,1.6491731316620375,True,2.716926120154615,1.011176279126153
