n,k,requested,resolved,median_us,p10_us,p90_us,mean_us,sample_stddev_us,effective_gbps,effective_tflops,speedup_vs_old
512,3584,old,old,66.28099828958511,65.08000195026398,67.72100180387497,66.8193762845332,3.663585908424202,14.954995029936878,0.05537056011084067,1.0
512,3584,auto,small32x32,13.961000367999077,13.84000014513731,14.240000396966934,15.835009819579007,15.894156337582768,71.00006975661056,0.2628762913302606,4.747582303737498
512,3584,selected,small32x32,13.96000012755394,13.84000014513731,14.201000332832336,14.250831567857524,1.1004446873830749,71.00515694434188,0.26289512653772856,4.747922470198345
1024,3072,old,old,57.041000574827194,56.320998817682266,58.240000158548355,57.325623671312144,1.2878966860052066,29.584894777332057,0.11029708344170398,1.0
1024,3072,auto,small32x32,13.799999840557575,13.60000018030405,14.08000010997057,14.071772133212278,1.1530809610925545,122.28637822446642,0.45590261396305926,4.133405886512135
1024,3072,selected,small32x32,13.799999840557575,13.63999955356121,14.08000010997057,14.081306792426817,1.1035669911789754,122.28637822446642,0.45590261396305926,4.133405886512135
1024,4096,old,old,71.4000016450882,70.44000178575516,72.92100042104721,71.6509405191582,1.4612357743037179,31.494453055866206,0.11748750429583604,1.0
1024,4096,auto,small32x32,14.480999670922756,14.240000396966934,14.759999699890614,14.75028718572737,1.1276677894823355,155.28651689118564,0.5792837642862444,4.930598941208211
1024,4096,selected,small32x32,14.480000361800194,14.2000000923872,14.800000004470348,14.749465371933905,1.1892686910420929,155.29723368877282,0.5793237424309777,4.930939216924961
3072,3072,old,old,61.560001224279404,60.28100103139877,66.44000113010406,62.633425476822524,3.012386858975713,81.84015431781651,0.3066011634930882,1.0
3072,3072,auto,split8,25.15999972820282,24.28000047802925,30.36000020802021,26.10950483617806,2.6005117962455766,200.24165558128445,0.7501736170069585,2.446740933596848
3072,3072,selected,split8,25.119999423623085,24.241000413894653,31.039999797940254,26.183980212795852,2.599689121938099,200.56051415598927,0.7513681701063403,2.4506370476421186
3072,8192,old,old,163.28099370002747,154.60200607776642,169.281005859375,162.13691175574124,5.686774117806879,82.15530599136564,0.30825172519752697,1.0
3072,8192,auto,split8,48.76000061631203,46.00000008940697,51.32099986076355,50.747732419778806,21.822003071435983,275.110743036217,1.0322323085279494,3.3486667685849847
3072,8192,selected,split8,48.76000061631203,46.04100063443184,51.08099803328514,50.64166337251663,20.703998009179166,275.110743036217,1.0322323085279494,3.3486667685849847
3584,3584,old,old,70.20100206136703,67.32100248336792,71.40100002288818,70.27601981812184,3.4958784624752033,97.61410519481919,0.36595078767597483,1.0
3584,3584,auto,split8,25.679999962449074,25.280000641942024,26.159999892115593,25.720158296793993,0.4058662219019028,266.84610630920247,1.0003937709332442,2.733683884891721
3584,3584,selected,split8,25.72000026702881,25.24000033736229,26.159999892115593,25.835128648593873,1.0561567885085426,266.4311014329402,0.9988379367527798,2.7294324001761257
3584,18944,old,old,316.32301211357117,308.68300795555115,322.52299785614014,316.2222661004208,5.672181844171577,114.31191097477746,0.42927825924737456,1.0
3584,18944,auto,split8,89.80099856853485,87.0010033249855,91.95999801158905,89.5769797486834,2.0263423586842664,402.6624266589151,1.5121278623240089,3.522488804755973
3584,18944,selected,split8,89.56100046634674,87.15999871492386,91.5210023522377,89.55481117314632,2.0362546542892628,403.74144785918526,1.516179936500647,3.531928076578734
4096,4096,old,old,72.60099798440933,71.84000313282013,73.11999797821045,72.59557410927103,0.6575048458650204,123.21681861619909,0.46217590572523026,1.0
4096,4096,auto,split8,26.48100070655346,26.159999892115593,27.720000594854355,26.669554504575114,0.5777297199918755,337.8144239762868,1.2671134437791856,2.7416259222576205
4096,4096,selected,split8,26.441000401973724,26.159999892115593,27.83999964594841,26.690861302437167,0.6545600874706279,338.32547422571196,1.269030350209264,2.7457734911947558
4096,12288,old,old,165.0010049343109,164.40199315547943,165.72199761867523,165.36591017600333,3.2824514734819186,162.44885302772016,0.6100768661383329,1.0
4096,12288,auto,split8,53.16099897027016,52.88099870085716,53.55999991297722,53.35656431789445,1.1343633520361067,504.20843323486145,1.89355538740525,3.1037980498934257
4096,12288,selected,split8,53.199999034404755,52.91999876499176,53.44099923968315,53.50762329036647,2.629588192704998,503.8388061372999,1.8921672523884907,3.1015227054347085
4096,14336,old,old,189.08099830150604,188.56099247932434,189.6820068359375,189.06393012788035,0.47733839577217835,165.37285227434162,0.6211121850157091,1.0
4096,14336,auto,split8,59.84099954366684,59.51999872922897,60.2400004863739,59.86196027681379,0.5057809186431919,522.5324482954644,1.9625426195346547,3.1597232623684857
4096,14336,selected,split8,59.76099893450737,59.480998665094376,60.07999926805496,59.728108641534746,0.3658435166637725,523.2319498920665,1.965169828046284,3.1639531077571452
8192,3072,old,old,48.760998994112015,48.48099872469902,49.15999993681908,48.79373241916741,0.2952530405435717,275.10511016437164,1.0322111736487936,1.0
8192,3072,auto,split4,32.84100070595741,32.64100104570389,33.19999948143959,32.95122780422173,0.6962748822058735,408.4650196900549,1.532585698305769,1.4847598412330563
8192,3072,selected,split4,32.76100009679794,32.600998878479004,33.160001039505005,32.95315846358196,0.7885457263892149,409.4624694107285,1.5363281905706965,1.4883855453142258
12288,4096,old,old,70.35999745130539,69.56099718809128,70.8409994840622,70.25094049991948,0.5850855598600203,380.95828554500184,1.4306893070834297,1.0
12288,4096,auto,split8,55.59999868273735,55.24099990725517,56.120000779628754,55.90470279059788,2.272758531197106,482.09037113380646,1.810490978145542,1.2654676100406224
12288,4096,selected,split8,55.52100017666817,55.20100146532059,56.040000170469284,55.6290295380767,0.5714319126866928,482.7763173341401,1.81306704993946,1.2672681909082948
14336,4096,old,old,74.04100149869919,72.88099825382233,74.75999742746353,73.93530667713372,0.7974457764116021,422.3182205409439,1.5861550981595418,1.0
14336,4096,auto,split8,61.12099811434746,60.64099818468094,61.521001160144806,61.089316622750594,0.41226593955469615,511.5895512946473,1.9214429676080858,1.2113840379402918
14336,4096,selected,split8,61.11999973654747,60.63999980688095,61.560001224279404,61.1110792891814,0.35391114040201177,511.5979079643613,1.921474353832089,1.2114038255537727
18944,3584,old,old,83.64100009202957,82.84100145101547,84.52100306749344,83.63540559121878,0.6608325823445639,432.3177384322758,1.6234931654402818,1.0
18944,3584,auto,split8,72.04099744558334,71.59999758005142,72.7199986577034,72.13527694492056,0.4953321827721914,501.92930806258363,1.884907161405842,1.1610194619419083
18944,3584,selected,split8,72.15999811887741,71.6409981250763,72.60099798440933,72.12938597001651,0.42387061033820334,501.1015651695326,1.8817987186792415,1.1591047986758285
