n,k,requested,mapping,resolved,timing,timing_boundary,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct
3072,3072,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,14,70189056,70213632,30,5021,19.91897940635681,14.945053194794752,14.596632984239632,15.641978403838646,337.10686300900716,1.2629174184922807,True
3072,3072,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,14,70189056,70213632,30,1,,29.421000741422176,19.83210016041994,34.94890034198761,171.24094602624535,0.6415270563324705,True
3072,3072,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,14,70189056,70213632,30,6382,15.670939683914185,14.696467300075529,14.391832342718656,15.080801815270855,342.8089143555001,1.2842792498781663,True
3072,8192,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,139.4210010766983,134.7810000181198,161.25500053167343,96.21506011580327,0.3610047812833559,True
3072,8192,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,754,132.71241188049316,83.01536347568826,81.77012840695976,110.39437514085037,161.58936657464037,0.6062931714409712,True
3072,8192,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,50.580499693751335,49.368901178240776,60.492101684212685,265.20892599361173,0.9950800862929774,True
3072,8192,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,2119,47.208027839660645,30.859554303373127,30.801168372463426,37.081360108113174,434.69195530583954,1.6309907623811164,True
3072,8192,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,46.96100018918514,45.176101475954056,70.37010192871094,285.64979335958145,1.0717754689473393,True
3072,8192,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,2347,42.61398792266846,30.877567221369702,30.840597327435127,32.216098169392616,434.4383708673843,1.6300392980819598,True
3584,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,10,68239360,68268032,30,1,,51.880499348044395,42.072100564837456,55.72399944067001,132.08446499384561,0.4951785800606095,True
3584,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,10,68239360,68268032,30,2620,38.17866086959839,34.66711990705883,33.82270463550364,35.03503843118216,197.6688002456382,0.7410512343936897,True
3584,3584,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,10,68239360,68268032,30,1,,26.820000261068344,25.599999353289604,37.352099269628525,255.50365150246404,0.9578714299004508,True
3584,3584,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,10,68239360,68268032,30,4557,21.947801113128662,14.783017541694097,14.686510639805949,15.873475165803468,463.5459560724237,1.7378124545644,True
3584,3584,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,10,68239360,68268032,30,1,,30.361000448465347,29.152000322937965,45.80399952828885,225.70428835609658,0.8461549889835251,True
3584,3584,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,10,68239360,68268032,30,6258,15.980149507522583,14.736241370810987,14.703887032411014,14.75261213985942,465.0173560249493,1.743328665265082,True
3584,18944,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,314.24300372600555,299.3630051612854,349.8160123825073,115.06855386199193,0.4321196984178473,True
3584,18944,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,332,301.23796463012695,184.18136274958232,182.11679343717643,288.56172446744984,196.32544498632777,0.7372656493188421,True
3584,18944,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,110.28100177645683,109.13699716329575,120.4769976437092,327.88501571010806,1.2313144586340623,True
3584,18944,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,943,106.0918140411377,69.9130854197044,69.60719605139433,104.85469134463233,517.2062966886133,1.942277202970198,True
3584,18944,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,112.30099946260452,109.58500057458878,134.22200083732605,321.9872322867515,1.2091663711792464,True
3584,18944,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,949,105.47261238098145,69.6607937425909,69.53583004853999,104.26566522917834,519.0794714974937,1.9493115812284676,True
4096,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,8,71303168,71335936,30,1,,61.92049942910671,58.236998692154884,68.89600232243538,144.47015257430158,0.5418953708281495,True
4096,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,8,71303168,71335936,30,1759,56.855740547180176,42.431166119166164,41.669484063127356,44.44021384373113,210.82767263281133,0.7907968380073217,True
4096,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,8,71303168,71335936,30,1,,28.120500035583973,25.936900451779366,45.10789923369885,318.11895196316084,1.193237387583431,True
4096,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,8,71303168,71335936,30,4481,22.321009635925293,18.35192114453953,18.316463954851475,18.443418714356888,487.4510918799208,1.8283879783334758,True
4096,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,8,71303168,71335936,30,1,,26.499999687075615,24.236000701785088,37.78399899601936,337.57223040130503,1.2662049960840158,True
4096,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,8,71303168,71335936,30,4769,20.97219944000244,18.384935471416142,18.351207596372323,18.444319005331472,486.57576274380796,1.8251046924895946,True
4096,12288,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,199.46200400590897,196.3530957698822,215.66999703645706,134.38260651991612,0.5046740430674601,True
4096,12288,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,511,196.0247039794922,122.451778493982,120.87007586036876,191.36462276929046,218.8961592037417,0.8220647934888686,True
4096,12288,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,76.72099769115448,74.30900186300278,105.0450973212719,349.37272463403303,1.3120696944691315,True
4096,12288,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1377,72.62510776519775,50.1587673123539,50.039435714245194,70.94217271326933,534.387614294465,2.0068933387684558,True
4096,12288,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,74.96099919080734,73.19300025701523,93.83400306105614,357.5755965014814,1.3428755897952944,True
4096,12288,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1394,71.74310207366943,50.18813025147535,50.02995604593067,70.99878647748162,534.0749668436204,2.005719190884599,True
4096,14336,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,233.12199860811234,229.01799380779266,264.99409675598145,134.13090221727313,0.5037727571880607,True
4096,14336,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,437,229.00623321533203,142.39218251383278,140.15042459937473,223.0827802924324,219.5967745417651,0.8247679748050155,True
4096,14336,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,87.72099763154984,85.64899861812592,97.03300222754478,356.45814393649584,1.3387959003074676,True
4096,14336,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1185,84.43082809448242,58.47177948126813,58.37988487275844,81.98937589106177,534.7684691213685,2.008499023663594,True
4096,14336,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,87.40099892020226,85.624098777771,101.13499984145164,357.7632336736643,1.3436975944316614,True
4096,14336,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1182,84.6312427520752,58.48563463756477,58.35878143052361,81.90284703185311,534.6417832989762,2.0080232133544986,True
8192,3072,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,56.28049932420254,53.55699844658375,72.26490303874017,238.3489869684107,0.8942999547688034,True
8192,3072,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,1904,52.53612041473389,33.47821195586389,33.36121595206381,38.54671846918699,400.69045556211057,1.5034150589151802,True
8192,3072,auto,auto,split4,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,41.4000004529953,40.50010107457638,51.916899159550674,324.0193201261056,1.2157402765525451,True
8192,3072,auto,auto,split4,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,2705,36.97316884994507,27.644374939077665,27.565550742440216,28.38536063315908,485.248808466912,1.8206831628828748,True
8192,3072,selected,split4,split4,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,41.22049920260906,40.0408998131752,61.3790012896061,325.4303140305232,1.221034411849487,True
8192,3072,selected,split4,split4,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,2774,36.05236053466797,27.65614950321695,27.609185821819235,28.290175291472575,485.04221451506265,1.8199080097591114,True
12288,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,97.00099751353264,95.33299654722214,108.0489993095398,276.3293645125715,1.0377552662379212,True
12288,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1088,91.97121620178223,55.67899521659402,55.43443315169391,90.95456810558542,481.4063884545735,1.807922280357518,True
12288,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,64.0610009431839,61.26899942755699,77.59300246834755,418.41718994951134,1.5713662683678467,True
12288,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1726,57.9437780380249,48.58447723565483,48.12158029850223,56.83091208943072,551.7034560233799,2.071923003549906,True
12288,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,63.28099966049194,59.988900646567345,95.62800228595735,423.57459812276966,1.5907349210674189,True
12288,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,80216064,80281600,30,1684,59.408202171325684,48.462233464111904,48.23910719991579,57.2740935373193,553.0951028051468,2.0771493347401115,True
14336,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,107.18100145459175,97.76500016450882,124.3970036506653,291.7388676690743,1.095721353655711,True
14336,4096,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1083,92.366943359375,61.270293766771985,61.17404997623969,91.80656144273358,510.34297499904727,1.9167610399754629,True
14336,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,70.8400011062622,69.33690011501312,84.04489755630493,441.40123534294884,1.6578276420949738,True
14336,4096,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1476,67.75148868560791,56.77097599680831,56.659690215981755,65.79855683696303,550.789614780587,2.0686717101112118,True
14336,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,70.38100063800812,68.92099976539612,83.0570012331009,444.2799010605961,1.6686394188118172,True
14336,4096,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1483,67.44129180908203,56.77471559592702,56.66196518304456,65.78982784711101,550.7533357374177,2.0685354522220645,True
18944,3584,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,112.90150135755539,110.75389981269836,129.9809992313385,320.2746426328209,1.2027350422024556,True
18944,3584,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,947,105.6746768951416,64.07411247019783,63.93610945221237,105.28089126538576,564.3384918802974,2.119273865294021,True
18944,3584,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,76.5404999256134,75.14500245451927,95.0670011341572,472.4229399486799,1.774101189983987,True
18944,3584,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,1368,73.1319522857666,52.686192138850345,52.476158476712406,70.6958486322771,686.3181135714742,2.577346862383497,True
18944,3584,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,2,72138752,72228864,30,1,,76.1605016887188,74.92899894714355,87.00100183486938,474.7800657588905,1.7829529610374646,True
18944,3584,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,2,72138752,72228864,30,1339,74.68836784362793,52.69279793361126,52.51971494804308,70.81038494266798,686.232073794185,2.577023755145539,True
