n,k,requested,resolved,median_us,p10_us,p90_us,mean_us,sample_stddev_us,effective_gbps,effective_tflops,speedup_vs_old
512,3584,old,old,65.99999964237213,65.16099721193314,66.95999950170517,67.82726714811703,17.461442686453967,15.018666748046876,0.05560630333161157,1.0
512,3584,auto,small32x32,13.9999995008111,13.84000014513731,14.240000396966934,14.190980159483924,1.5935259157617165,70.8022882388369,0.2621440093470985,4.714285856835093
512,3584,selected,small32x32,13.9999995008111,13.799999840557575,14.2000000923872,14.057098952407884,0.447679341804064,70.8022882388369,0.2621440093470985,4.714285856835093
1024,3072,old,old,56.88000097870827,56.320998817682266,57.51999840140343,57.186376155898124,1.4238106858247632,29.668635213837227,0.11060928079721839,1.0
1024,3072,auto,small32x32,13.84000014513731,13.63999955356121,14.08000010997057,14.095900866138463,1.0915255119693945,121.9329466981922,0.4545849663311244,4.109826617212362
1024,3072,selected,small32x32,13.84000014513731,13.63999955356121,14.039999805390835,14.115346402003624,1.1309028982565785,121.9329466981922,0.4545849663311244,4.109826617212362
1024,4096,old,old,71.20099663734436,70.16099989414215,73.08100163936615,71.58826726793063,1.7122596590843475,31.58247926575472,0.11781587893673165,1.0
1024,4096,auto,small32x32,14.480000361800194,14.201000332832336,14.759999699890614,14.783089169033683,1.2260098397505512,155.29723368877282,0.5793237424309777,4.917195777507042
1024,4096,selected,small32x32,14.560000039637089,14.240000396966934,14.879999682307243,14.79971289892893,1.1437405559256855,154.44395562350903,0.5761406577722158,4.890178327164281
3072,3072,old,old,65.43999910354614,60.4810006916523,69.4810003042221,65.14702940193733,4.501571690127536,76.98777611577,0.288422497838592,1.0
3072,3072,auto,split8,25.00000037252903,24.159999564290047,25.72000026702881,25.170475244522095,1.5616891388850733,201.52319699707036,0.7549747087500003,2.617599925136567
3072,3072,selected,split8,25.040000677108765,24.159999564290047,25.839999318122864,27.68932673895713,24.53417654647579,201.2012725145709,0.7537686697131241,2.6134184238808955
3072,8192,old,old,162.44100034236908,154.32099997997284,166.16100072860718,162.74309851745568,22.891790164515466,82.58013661407597,0.30984571563779095,1.0
3072,8192,auto,split8,48.56099933385849,45.75999826192856,49.92000013589859,48.136732439593516,2.061179195889311,276.2381372709312,1.0364623605451,3.3450917932224127
3072,8192,selected,split8,48.64099994301796,45.9199994802475,49.52099919319153,47.97621768447432,1.8238692602001165,275.7838041100044,1.0347576747797662,3.3395900687211557
3584,3584,old,old,69.241002202034,65.92100113630295,71.35999947786331,68.67628692105265,2.2099961535473427,98.96748721234859,0.37102455457014366,1.0
3584,3584,auto,split8,25.60099959373474,25.280000641942024,26.079999282956123,25.657247419994658,0.32852975530758194,267.6695484061106,1.0034808174555445,2.7046210421791166
3584,3584,selected,split8,25.599999353289604,25.24000033736229,26.120999827980995,25.650544534667883,0.3744018613872144,267.68000676216576,1.0035200253510481,2.704726716844097
3584,18944,old,old,315.6430125236511,308.0829977989197,322.282999753952,315.39891940532345,5.090891022185449,114.5581766911142,0.43020306679472337,1.0
3584,18944,auto,split8,89.4400030374527,86.75999939441681,91.64100140333176,89.31284139652064,1.8890794059311162,404.2876427995909,1.5182310754522017,3.5291033296530268
3584,18944,selected,split8,89.07999843358994,86.96000277996063,92.24099665880203,89.44275244922922,2.278539145754051,405.9215158940228,1.5243667982463347,3.543365717041029
