"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void q4rdna_kernel::gemv_old<false, false>(unsigned char const*, unsigned char const*, float const*, float const*, float*, int)",1,69160,69160.000000,84.14,69160,69160,0.00000000e+00
"__amd_rocclr_copyBuffer",4,13040,3260.000000,15.86,2600,3960,559.523607
