"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void q4rdna_kernel::gemv_old<false, false>(unsigned char const*, unsigned char const*, float const*, float const*, float*, int)",1,60441,60441.000000,88.16,60441,60441,0.00000000e+00
"__amd_rocclr_copyBuffer",2,8120,4060.000000,11.84,3560,4560,707.106781
