"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void q4rdna_kernel::gemv_split_k<false, false, 8>(unsigned char const*, unsigned char const*, float const*, float const*, float*, int)",1,67561,67561.000000,94.20,67561,67561,0.00000000e+00
"__amd_rocclr_copyBuffer",1,4160,4160.000000,5.80,4160,4160,0.00000000e+00
